StudentID,Name,Gender,Age,Grade,Major,Teacher
1,Maurice Gallagher,Female,22,94.73,Physics,Dennis Stark
2,John Richardson,Female,23,86.5,Biology,Andrea Cox
3,Deborah Thompson,Male,18,93.32,Chemistry,Keith Murphy
4,David Jimenez,Female,21,69.34,Mathematics,Rachel Hanna
5,Evelyn Brennan,Female,21,74.95,Chemistry,Patrick White
6,Steven Adams DDS,Female,21,D,Mathematics,Dennis Stark
7,Michael Daugherty,Male,19,71.45,Mathematics,Dennis Stark
8,Shannon Campos,Male,21,B,Physics,Dennis Stark
9,Michael Williams,Female,23,71.23,Engineering,Dennis Stark
10,Lauren Murphy,Male,20,85.4,Mathematics,Dennis Stark
11,Paige Myers,Female,22,80.66,Engineering,Pamela Wilson
12,April Swanson,Female,24,D,Physics,Thomas Cardenas
13,Robert Simmons,Female,18,77.45,Mathematics,Michael Alvarez
14,Monica Edwards,Male,18,79.91,Computer Science,Kyle Williams
15,Kenneth Weaver,Male,22,93.95,Biology,Craig Barron
16,David Morris,Female,20,83.84,Mathematics,Amy Schwartz
17,Charles Butler,Female,19,85.69,Mathematics,James Sherman
18,Mark Wilson,Female,24,98.5,Biology,Jeremy Gomez
19,Gary Cole,Female,24,53.38,Biology,Ms. Suzanne Chambers
20,Terri Walker,Male,18,59.38,Mathematics,Emily Hooper
21,John Turner,Male,19,65.91,Chemistry,Amanda Gardner
22,Christine Johnson,Male,23,97.3,Physics,Lisa Knight
23,Eduardo Michael,Female,19,61.43,Computer Science,Jillian Morales
24,Thomas Doyle,Female,23,78.25,Chemistry,Dawn Hudson
25,Daniel Delgado,Male,18,55.89,Computer Science,Jocelyn Rhodes
26,Nicole Gardner,Male,19,63.53,Mathematics,Joshua Singleton
27,Jeremiah Mercado,Male,22,63.81,Computer Science,Robin Miller
28,Richard Craig,Female,21,85.42,Engineering,Alexander Thomas
29,Michael Mills,Male,18,55.44,Biology,Daniel Smith
30,Daniel Ballard,Female,21,87.85,Computer Science,Phillip Bell
31,Kerry Brown,Male,23,65.18,Computer Science,
32,Jason Hernandez,Male,24,86.67,Biology,Stephanie Stephens
33,Lynn Mcclure,Male,18,B,Engineering,Samantha Willis
34,Jessica Jackson,Female,20,71.32,Physics,Mrs. Kayla Hartman
35,Darrell Anderson,Male,21,56.29,Computer Science,John Hampton
36,Scott Sanchez,Male,18,55.34,Physics,Trevor Avila
37,Dr. Katherine Wheeler MD,Male,19,77.09,Mathematics,Max Weaver
38,Edward Brooks,Male,21,81.85,Mathematics,Beverly Stone
39,Thomas Brown,Female,23,54.61,Biology,Jonathan Pineda
40,Jerry Barber,Female,A,56.97,Engineering,Michele Meyer
41,Matthew Henderson,Female,21,51.62,Engineering,Mr. Hector Wallace
42,Cynthia Hicks,Male,24,58.12,Chemistry,Jill Williams
43,Ryan Green,Male,18,C,Physics,
44,Tina Spencer,Female,19,84.54,Computer Science,Carlos Ho
45,Jason Barr,Male,19,53.26,Physics,Mallory Medina
46,Joshua Smith,Female,19,84.37,Mathematics,Alexis Burke
47,Kenneth Howard,Female,18,70.27,Mathematics,Susan Lynch DVM
48,James Hall,Female,20,57.15,Physics,Beth Hood
49,Tony Gray,Female,22,99.12,Chemistry,Jason Flores
50,Lori Collins,Male,21,75.21,Mathematics,Gerald Gaines
51,Michelle Cooper,Male,24,64.71,Mathematics,Brendan Castillo
52,Thomas Wolf,Female,21,52.78,Computer Science,Carlos Jackson
53,Danielle Mueller,Male,20,65.72,Chemistry,Shane Quinn
54,Joshua Carpenter,Female,22,D,Computer Science,Kevin Gray
55,Christina Cantrell,Male,20,62.29,Computer Science,Debra Evans
56,Mary Johnson,Female,18,78.46,Biology,
57,John Bryant,Female,18,63.91,Physics,Colleen Dawson
58,Eric Glenn,Male,22,52.22,Engineering,
59,Amber Howard,Female,23,70.66,Engineering,Marvin Ross
60,Dana Camacho,Female,23,67.83,Engineering,Thomas Wilkinson
61,Michael Juarez,Female,24,62.29,Engineering,Zachary Smith
62,James Gross,Male,18,76.45,Engineering,Sharon Robertson
63,Virginia Bryant,Male,22,A,Biology,
64,Meghan Jones,Male,19,97.5,Physics,Shannon Villegas
65,David Sanchez,Male,22,81.06,Mathematics,
66,Jerry Rodriguez,Male,19,67.91,Engineering,Alicia Bryant
67,Andrea Martin,Female,20,60.72,Chemistry,Tamara Goodman
68,Jay Paul MD,Female,20,83.26,Engineering,William Savage
69,David Harmon,Male,B,96.01,Biology,Paul Blackwell
70,Kristen Cruz,Male,19,81.36,Physics,Dennis Randall
71,Mallory Jensen,Male,19,91.47,Chemistry,Jason Jensen
72,Linda Moran,Male,19,84.21,Engineering,Johnny Clark
73,Douglas Sheppard,Male,B,97.36,Biology,Justin Burke
74,Cheryl White,Male,21,70.36,Engineering,
75,Megan Klein,Male,24,88.64,Engineering,Kara Oconnor
76,Mr. Johnny Martinez,Female,21,75.46,Chemistry,Elizabeth Mercado
77,Christina Warren,Female,24,52.47,Biology,Cameron Wilson
78,Randy Morrison,Female,20,50.66,Physics,Michael Morton
79,Jessica Harris,Female,21,71.26,Biology,Kylie Gray
80,Timothy Alvarez,Female,18,83.0,Physics,
81,Allison Mason,Female,24,93.16,Physics,
82,Scott Graham,Female,21,51.63,Physics,Jill Gilbert
83,Dylan Lowery,Male,23,B,Physics,Christine Miller
84,Darlene Garza,Male,22,94.24,Biology,
85,Dawn Miles,Male,19,93.68,Chemistry,Bradley Mcneil
86,Victoria Fitzgerald,Female,20,82.13,Physics,
